,Stage,Source,Count
1,RS,ACD,141
2,ST,ACD,143
3,PU,ACD,178
4,FE,ACD,176
5,FB,ACD,156
6,RS,FP,158
7,ST,FP,170
8,PU,FP,132
9,FE,FP,162
10,FB,FP,136
11,RS,EXP,116
12,ST,EXP,112
13,PU,EXP,124
14,FE,EXP,120
15,FB,EXP,126
16,RS,PE,130
17,ST,PE,91
18,PU,PE,79
19,FE,PE,104
20,FB,PE,104
21,RS,ATESC,64
22,ST,ATESC,55
23,PU,ATESC,55
24,FE,ATESC,57
25,FB,ATESC,54
26,RS,MM,43
27,ST,MM,42
28,PU,MM,38
29,FE,MM,39
30,FB,MM,32
31,RS,FC,6
32,ST,FC,18
33,PU,FC,14
34,FE,FC,17
35,FB,FC,19
